case_uid,method,reviewer_1,reviewer_2,mean
synth_0028,original_fys_tdm,0.0,0.0,0
synth_0028,endpoint_projection,0.0,0.0,0
synth_0028,residual_rk2,0.0,0.0,0
synth_0032,original_fys_tdm,0.0,0.0,0
synth_0032,endpoint_projection,0.0,0.0,0
synth_0032,residual_rk2,0.0,0.0,0
synth_0033,original_fys_tdm,0.0,0.0,0
synth_0033,endpoint_projection,0.0,0.0,0
synth_0033,residual_rk2,0.0,0.0,0
synth_0038,original_fys_tdm,0.0,0.0,0
synth_0038,endpoint_projection,0.0,0.0,0
synth_0038,residual_rk2,0.0,0.0,0
synth_0043,original_fys_tdm,0.0,0.0,0
synth_0043,endpoint_projection,0.0,0.0,0
synth_0043,residual_rk2,0.0,0.0,0
synth_0036,original_fys_tdm,2.0,2.0,2
synth_0036,endpoint_projection,0.0,0.0,0
synth_0036,residual_rk2,0.0,0.0,0
