reviewer_id,review_position,review_uid,row_uid,case_uid,seed,method,part_size,footprint_change
reviewer_1,1,item_92859fde2b50,endpoint_projection_n3::synth_0005::seed_000,synth_0005,0,endpoint_projection_n3,medium,comparable
reviewer_1,2,item_085e81c2bd0d,endpoint_projection_n3::synth_0054::seed_000,synth_0054,0,endpoint_projection_n3,small,comparable
reviewer_1,3,item_aed85983848d,endpoint_projection::synth_0011::seed_000,synth_0011,0,endpoint_projection,small,comparable
reviewer_1,4,item_11b36a02da9a,residual_rk2::synth_0005::seed_000,synth_0005,0,residual_rk2,medium,comparable
reviewer_1,5,item_9355924b61fd,residual_rk2::synth_0041::seed_000,synth_0041,0,residual_rk2,medium,expansion
reviewer_1,6,item_bee71a372bbb,endpoint_projection_n3::synth_0018::seed_000,synth_0018,0,endpoint_projection_n3,medium,comparable
reviewer_1,7,item_524e84dd7a8d,residual_rk2::synth_0025::seed_000,synth_0025,0,residual_rk2,medium,comparable
reviewer_1,8,item_3ed096428213,endpoint_projection_n3::synth_0001::seed_000,synth_0001,0,endpoint_projection_n3,medium,comparable
reviewer_1,9,item_67c06ac0e63c,endpoint_projection::synth_0032::seed_000,synth_0032,0,endpoint_projection,small,expansion
reviewer_1,10,item_507da06ef83a,endpoint_projection::synth_0055::seed_000,synth_0055,0,endpoint_projection,large,comparable
reviewer_1,11,item_9a09c5e14ce5,original_fys_tdm::synth_0020::seed_000,synth_0020,0,original_fys_tdm,large,comparable
reviewer_1,12,item_f98538592013,endpoint_projection::synth_0028::seed_000,synth_0028,0,endpoint_projection,small,comparable
reviewer_1,13,item_b045fc3a047b,original_fys_tdm::synth_0009::seed_000,synth_0009,0,original_fys_tdm,large,comparable
reviewer_1,14,item_a3447332956c,endpoint_projection_n3::synth_0012::seed_000,synth_0012,0,endpoint_projection_n3,large,comparable
reviewer_1,15,item_651ab3e4d216,residual_rk2::synth_0055::seed_000,synth_0055,0,residual_rk2,large,comparable
reviewer_1,16,item_82f6bce6430d,endpoint_projection::synth_0021::seed_000,synth_0021,0,endpoint_projection,large,comparable
reviewer_1,17,item_989717db433a,original_fys_tdm::synth_0030::seed_000,synth_0030,0,original_fys_tdm,small,contraction
reviewer_1,18,item_d813548795fb,endpoint_projection_n3::synth_0019::seed_000,synth_0019,0,endpoint_projection_n3,medium,comparable
reviewer_1,19,item_94031d94370b,endpoint_projection::synth_0013::seed_000,synth_0013,0,endpoint_projection,small,comparable
reviewer_1,20,item_7668ba8a983e,endpoint_projection_n3::synth_0058::seed_000,synth_0058,0,endpoint_projection_n3,medium,comparable
reviewer_1,21,item_734737fb678f,endpoint_projection_n3::synth_0033::seed_000,synth_0033,0,endpoint_projection_n3,medium,comparable
reviewer_1,22,item_4ace10d2bda9,endpoint_projection_n3::synth_0044::seed_000,synth_0044,0,endpoint_projection_n3,large,comparable
reviewer_1,23,item_b1461c244229,original_fys_tdm::synth_0052::seed_000,synth_0052,0,original_fys_tdm,medium,comparable
reviewer_1,24,item_ff0b1a04df65,original_fys_tdm::synth_0019::seed_000,synth_0019,0,original_fys_tdm,medium,comparable
reviewer_1,25,item_f5afee77c5fe,original_fys_tdm::synth_0004::seed_000,synth_0004,0,original_fys_tdm,medium,comparable
reviewer_1,26,item_7d18a987ad0e,original_fys_tdm::synth_0013::seed_000,synth_0013,0,original_fys_tdm,small,comparable
