metric,method_a,method_b,difference,ci_low,ci_high,iterations,paired_cases
strict_outside_mask_l1_aux,original_fys_tdm,endpoint_projection,0.008580035829948165,0.006865055511026817,0.010341618311102104,10000,59
strict_inside_mask_l1_aux,original_fys_tdm,endpoint_projection,-0.008126801085042752,-0.015048716510488204,-0.0009435935099846142,10000,59
strict_outside_mask_mse,original_fys_tdm,endpoint_projection,0.0019475533853884931,0.0014512477097075964,0.002462018194575846,10000,59
strict_inside_mask_mse,original_fys_tdm,endpoint_projection,-0.003293050678991478,-0.0061219544520885755,-0.00047328856362275,10000,59
strict_outside_mask_psnr,original_fys_tdm,endpoint_projection,-2.816436365317541,-3.42168102314029,-2.221194904592409,10000,59
strict_inside_mask_psnr,original_fys_tdm,endpoint_projection,0.6299470041459352,-0.09701255566652048,1.297795593158767,10000,59
strict_outside_mask_global_ssim,original_fys_tdm,endpoint_projection,-0.019360768504159225,-0.023819877163599686,-0.014781480234834518,10000,59
strict_inside_mask_global_ssim,original_fys_tdm,endpoint_projection,0.014843660466673023,-0.01199071032673779,0.04054380862816383,10000,59
buffered_outside_mask_l1_aux,original_fys_tdm,endpoint_projection,0.008798578312083825,0.007074477145906095,0.010541374258444473,10000,59
buffered_inside_mask_l1_aux,original_fys_tdm,endpoint_projection,0.0004310871206097788,-0.004627181158669399,0.005618559063207051,10000,59
buffered_outside_mask_mse,original_fys_tdm,endpoint_projection,0.0020732628951101745,0.0016192267847176445,0.002555753166752305,10000,59
buffered_inside_mask_mse,original_fys_tdm,endpoint_projection,-0.0010146716258378117,-0.003129391257416352,0.0010791648678004108,10000,59
buffered_outside_mask_psnr,original_fys_tdm,endpoint_projection,-3.3449657446710264,-3.9374022871627252,-2.764690892232211,10000,59
buffered_inside_mask_psnr,original_fys_tdm,endpoint_projection,-0.36195291188842393,-1.0212137101377488,0.26863756350211754,10000,59
buffered_outside_mask_global_ssim,original_fys_tdm,endpoint_projection,-0.020880150151595882,-0.02499717297211254,-0.016781933624094518,10000,59
