reviewer_id,review_uid,case_uid,method,source_sha256,candidate_sha256,display_verified
reviewer_1,item_aed85983848d,synth_0011,endpoint_projection,d10334437e175ada776b22a86905f9cfec0749fb55d8ab451720358569be886a,fa9c496e503d8f85f544c2009a1e75108bd797775dbc1a9a1c45af0c082aef8c,True
reviewer_1,item_11b36a02da9a,synth_0005,residual_rk2,a0e6abb84c900968be160841135aca42607d6917c33f20e69aa1fa4c25ca8a2d,9773da4b12be4f7501b53c722808efc5e0c1e4533c9ee29ffd31b39810493129,True
reviewer_1,item_9355924b61fd,synth_0041,residual_rk2,90b04250be827c4146cc5e99ed8c7b67305e97a5b4649bedcf81511b71d40fcc,55662122a7a4e9f150f8d83fc4360f3bf803ce601e7416d5d96f9893f8992969,True
reviewer_1,item_524e84dd7a8d,synth_0025,residual_rk2,6be19916a6dc9c8d0526081d632e835d8312978956008c717137323a4cb1f81e,9e7bf5358aa9378681b9b23bee03abea66553b9a15affaf1a89035f634c3ccc7,True
reviewer_1,item_67c06ac0e63c,synth_0032,endpoint_projection,5e879b4944443b6f90e261c438d2d6c7a270b5757f294954a55a0d06789ed344,9dc39099c07a2e91e91503b4dc1772f4b8b022748f3956a8c5e276bfa95da4d9,True
reviewer_1,item_507da06ef83a,synth_0055,endpoint_projection,0bcae518d5ba9c717ade8bb88b6f59ed913068b3c2e6123739afce517dbb6567,e51d5587b609a9a21922c7350556b9ea0ac55c5bdf48f3db239ee0a08ccca4a6,True
reviewer_1,item_9a09c5e14ce5,synth_0020,original_fys_tdm,c74e49963c073745b1e2a8d821fee5379c66bb5acd2acebf62fbf697a7230478,fd2713045320a44da7084eba15df8e39202d047846d7b8a655414480dc28fb83,True
reviewer_1,item_f98538592013,synth_0028,endpoint_projection,f03ad80412830e796b16d21c6301c331c6a4cd90b258424b2b34898444c795a7,240d02991ef6196c5e72622bb5b4e921c153db54711235c745c0c674c556fbd7,True
reviewer_1,item_b045fc3a047b,synth_0009,original_fys_tdm,c7098c982dbc8f357439bf5c2e2c46636e5ff692a3196ef5ecc216982ca923fb,50d145cbd9506ad5d1946d0b6f172a2b7e65f0148d338d050b0ef718c72d83ec,True
reviewer_1,item_651ab3e4d216,synth_0055,residual_rk2,0bcae518d5ba9c717ade8bb88b6f59ed913068b3c2e6123739afce517dbb6567,316d5477e2ab7023361c2f2b17816fe57289d6b1e487aa74fc5cea83f3606e04,True
reviewer_1,item_82f6bce6430d,synth_0021,endpoint_projection,b536d178f0c163600f772adf122d1812fcac6389cdb8c9ac0206bc0537ec0ef1,78c086324aa1fe7b0a4aa1921ec887d1f5d0eb0714bd0e4389fe60aea25cd338,True
