metric,method_a,method_b,difference,ci_low,ci_high,iterations,paired_cases
local_edit_success_0_2,original_fys_tdm,endpoint_projection,-0.15254237288135594,-0.3220338983050847,0.01694915254237288,10000,59
non_target_preservation_0_2,original_fys_tdm,endpoint_projection,-0.4152542372881356,-0.5932203389830508,-0.2457627118644068,10000,59
overall_prompt_adherence_0_2,original_fys_tdm,endpoint_projection,-0.211864406779661,-0.3728813559322034,-0.05084745762711865,10000,59
visual_quality_0_2,original_fys_tdm,endpoint_projection,-0.01694915254237288,-0.1271186440677966,0.07627118644067797,10000,59
joint_success,original_fys_tdm,endpoint_projection,-0.2288135593220339,-0.3474576271186441,-0.11016949152542373,10000,59
strict_joint_success,original_fys_tdm,endpoint_projection,-0.0847457627118644,-0.15254237288135594,-0.01694915254237288,10000,59
local_edit_success_0_2,original_fys_tdm,residual_rk2,-0.19491525423728814,-0.3813559322033898,-0.00847457627118644,10000,59
non_target_preservation_0_2,original_fys_tdm,residual_rk2,-0.5169491525423728,-0.6864406779661016,-0.3474576271186441,10000,59
overall_prompt_adherence_0_2,original_fys_tdm,residual_rk2,-0.2711864406779661,-0.4576271186440678,-0.0847457627118644,10000,59
visual_quality_0_2,original_fys_tdm,residual_rk2,0.01694915254237288,-0.09322033898305085,0.1271186440677966,10000,59
joint_success,original_fys_tdm,residual_rk2,-0.2288135593220339,-0.3559322033898305,-0.1016949152542373,10000,59
strict_joint_success,original_fys_tdm,residual_rk2,-0.1016949152542373,-0.1694915254237288,-0.03389830508474576,10000,59
local_edit_success_0_2,endpoint_projection,residual_rk2,-0.0423728813559322,-0.1440677966101695,0.059322033898305086,10000,59
non_target_preservation_0_2,endpoint_projection,residual_rk2,-0.1016949152542373,-0.2288135593220339,0.03389830508474576,10000,59
overall_prompt_adherence_0_2,endpoint_projection,residual_rk2,-0.059322033898305086,-0.1864406779661017,0.06779661016949153,10000,59
visual_quality_0_2,endpoint_projection,residual_rk2,0.03389830508474576,-0.059322033898305086,0.1271186440677966,10000,59
joint_success,endpoint_projection,residual_rk2,0.0,-0.07627118644067797,0.0847457627118644,10000,59
strict_joint_success,endpoint_projection,residual_rk2,-0.01694915254237288,-0.0847457627118644,0.05084745762711865,10000,59
