reviewer_id,metric,score,count
reviewer_1,local_edit_success_0_2,0,63
reviewer_1,local_edit_success_0_2,1,41
reviewer_1,local_edit_success_0_2,2,73
reviewer_2,local_edit_success_0_2,0,57
reviewer_2,local_edit_success_0_2,1,50
reviewer_2,local_edit_success_0_2,2,70
reviewer_1,non_target_preservation_0_2,0,59
reviewer_1,non_target_preservation_0_2,1,76
reviewer_1,non_target_preservation_0_2,2,42
reviewer_2,non_target_preservation_0_2,0,63
reviewer_2,non_target_preservation_0_2,1,68
reviewer_2,non_target_preservation_0_2,2,46
reviewer_1,overall_prompt_adherence_0_2,0,57
reviewer_1,overall_prompt_adherence_0_2,1,41
reviewer_1,overall_prompt_adherence_0_2,2,79
reviewer_2,overall_prompt_adherence_0_2,0,48
reviewer_2,overall_prompt_adherence_0_2,1,43
reviewer_2,overall_prompt_adherence_0_2,2,86
reviewer_1,visual_quality_0_2,0,9
reviewer_1,visual_quality_0_2,1,34
reviewer_1,visual_quality_0_2,2,134
reviewer_2,visual_quality_0_2,0,1
reviewer_2,visual_quality_0_2,1,6
reviewer_2,visual_quality_0_2,2,170
