contrast,metric,difference,ci_low,ci_high,cases
Endpoint GT - auto,strict_outside_mask_l1_aux,-0.005214790434781781,-0.0067320445674803045,-0.0037725918725038197,59
RK2 GT - auto,strict_outside_mask_l1_aux,-0.0047093573799830415,-0.006109191551094224,-0.0033683636884789124,59
RK2 - Endpoint (auto),strict_outside_mask_l1_aux,-0.00047995058535518987,-0.000702096263767549,-0.0002753590533541603,59
RK2 - Endpoint (GT),strict_outside_mask_l1_aux,2.5482469443548936e-05,-0.00014800154880257116,0.000264191844942586,59
Mask-by-controller interaction,strict_outside_mask_l1_aux,0.0005054330547987388,0.00023667263064408242,0.0008136839321735459,59
RK2 N15 - N7 (auto),strict_outside_mask_l1_aux,-0.012107129761223074,-0.013248069460061782,-0.011024400873614837,59
RK2 N15 - N7 (GT),strict_outside_mask_l1_aux,-0.01219488141300567,-0.013324905738384473,-0.011114201053850734,59
Endpoint GT - auto,strict_inside_mask_l1_aux,0.011827856744244955,0.005681464300191,0.018154230057182967,59
RK2 GT - auto,strict_inside_mask_l1_aux,0.008955873580554788,0.002471585210286465,0.015490498815236954,59
RK2 - Endpoint (auto),strict_inside_mask_l1_aux,-0.002654662608342653,-0.004672390394607331,-0.0004543312533237561,59
RK2 - Endpoint (GT),strict_inside_mask_l1_aux,-0.005526645772032819,-0.009459235138749168,-0.0017497283043497608,59
Mask-by-controller interaction,strict_inside_mask_l1_aux,-0.0028719831636901637,-0.006067295741068855,0.0002478272141099388,59
RK2 N15 - N7 (auto),strict_inside_mask_l1_aux,-0.012578591688583465,-0.014411361192716136,-0.010841186278720653,59
RK2 N15 - N7 (GT),strict_inside_mask_l1_aux,-0.0034748715174905322,-0.003947353823962857,-0.0030091265950478326,59
Endpoint GT - auto,strict_outside_mask_mse,-0.0016148697458586473,-0.00214117319031838,-0.0011227140313860838,59
RK2 GT - auto,strict_outside_mask_mse,-0.0014619344556348968,-0.0019485842748678272,-0.0010125201741545216,59
RK2 - Endpoint (auto),strict_outside_mask_mse,-0.00016922030550570004,-0.00025884006633639946,-9.037176123919064e-05,59
RK2 - Endpoint (GT),strict_outside_mask_mse,-1.6285015281949152e-05,-5.1185857813893945e-05,2.4300296305015766e-05,59
Mask-by-controller interaction,strict_outside_mask_mse,0.00015293529022375086,6.374075075994313e-05,0.00025273434540564913,59
RK2 N15 - N7 (auto),strict_outside_mask_mse,-0.001195069568200131,-0.0013743107668957736,-0.0010282665468166327,59
RK2 N15 - N7 (GT),strict_outside_mask_mse,-0.001071689141469315,-0.0012296679167498044,-0.0009244697348395325,59
Endpoint GT - auto,strict_inside_mask_mse,0.0022986872847807643,7.994070913548828e-05,0.004579289875119556,59
RK2 GT - auto,strict_inside_mask_mse,0.0016922227282597899,-0.0008040293949307031,0.004192213430138439,59
RK2 - Endpoint (auto),strict_inside_mask_mse,-0.0012608266334933342,-0.001989519342181263,-0.0005461686982879803,59
RK2 - Endpoint (GT),strict_inside_mask_mse,-0.0018672911900143086,-0.0032859995697774977,-0.000491043865104546,59
Mask-by-controller interaction,strict_inside_mask_mse,-0.0006064645565209745,-0.001831456123564169,0.0006770361539951045,59
RK2 N15 - N7 (auto),strict_inside_mask_mse,-0.0021767160920347344,-0.00267251718560454,-0.0017562539005450846,59
