footprint_change,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success,cases
comparable,endpoint_auto,1.4,0.9555555555555556,1.511111111111111,2.0,0.5777777777777777,0.15555555555555556,45
comparable,endpoint_gt,1.5333333333333334,1.4444444444444444,1.6666666666666667,2.0,0.8,0.28888888888888886,45
comparable,rk2_auto,1.3555555555555556,1.0,1.6222222222222222,1.9777777777777779,0.6,0.13333333333333333,45
comparable,rk2_gt,1.4444444444444444,1.4,1.6888888888888889,2.0,0.7777777777777778,0.3333333333333333,45
comparable,rk2_n15_auto,1.2666666666666666,1.4222222222222223,1.6,1.9777777777777779,0.6,0.3111111111111111,45
comparable,rk2_n15_gt,1.488888888888889,1.9555555555555555,1.7777777777777777,2.0,0.7777777777777778,0.6666666666666666,45
contraction,endpoint_auto,0.0,2.0,1.0,2.0,0.0,0.0,1
contraction,endpoint_gt,0.0,2.0,1.0,2.0,0.0,0.0,1
contraction,rk2_auto,2.0,2.0,1.0,2.0,1.0,1.0,1
contraction,rk2_gt,0.0,1.0,1.0,2.0,0.0,0.0,1
contraction,rk2_n15_auto,0.0,2.0,1.0,2.0,0.0,0.0,1
contraction,rk2_n15_gt,0.0,2.0,1.0,2.0,0.0,0.0,1
expansion,endpoint_auto,0.8461538461538461,1.4615384615384615,1.4615384615384615,2.0,0.5384615384615384,0.15384615384615385,13
expansion,endpoint_gt,0.46153846153846156,1.7692307692307692,1.0769230769230769,2.0,0.38461538461538464,0.07692307692307693,13
expansion,rk2_auto,0.8461538461538461,1.4615384615384615,1.3846153846153846,2.0,0.5384615384615384,0.07692307692307693,13
expansion,rk2_gt,0.46153846153846156,1.7692307692307692,1.3846153846153846,2.0,0.3076923076923077,0.07692307692307693,13
expansion,rk2_n15_auto,0.7692307692307693,1.7692307692307692,1.4615384615384615,2.0,0.46153846153846156,0.23076923076923078,13
expansion,rk2_n15_gt,0.3076923076923077,2.0,1.0,2.0,0.23076923076923078,0.07692307692307693,13
