contrast,metric,difference,ci_low,ci_high,cases
Endpoint GT - auto,local_edit_success_0_2,0.01694915254237288,-0.1016949152542373,0.13559322033898305,59
RK2 GT - auto,local_edit_success_0_2,-0.05084745762711865,-0.22033898305084745,0.11864406779661017,59
RK2 - Endpoint (auto),local_edit_success_0_2,0.0,-0.11864406779661017,0.11864406779661017,59
RK2 - Endpoint (GT),local_edit_success_0_2,-0.06779661016949153,-0.1864406779661017,0.03389830508474576,59
Mask-by-controller interaction,local_edit_success_0_2,-0.06779661016949153,-0.22033898305084745,0.06779661016949153,59
RK2 N15 - N7 (auto),local_edit_success_0_2,-0.11864406779661017,-0.2542372881355932,0.0,59
RK2 N15 - N7 (GT),local_edit_success_0_2,0.0,-0.11864406779661017,0.13559322033898305,59
Endpoint GT - auto,non_target_preservation_0_2,0.4406779661016949,0.2542372881355932,0.6440677966101694,59
RK2 GT - auto,non_target_preservation_0_2,0.3559322033898305,0.1864406779661017,0.5423728813559322,59
RK2 - Endpoint (auto),non_target_preservation_0_2,0.03389830508474576,-0.0847457627118644,0.15254237288135594,59
RK2 - Endpoint (GT),non_target_preservation_0_2,-0.05084745762711865,-0.1864406779661017,0.0847457627118644,59
Mask-by-controller interaction,non_target_preservation_0_2,-0.0847457627118644,-0.2542372881355932,0.0847457627118644,59
RK2 N15 - N7 (auto),non_target_preservation_0_2,0.3898305084745763,0.23728813559322035,0.5423728813559322,59
RK2 N15 - N7 (GT),non_target_preservation_0_2,0.4915254237288136,0.3559322033898305,0.6271186440677966,59
Endpoint GT - auto,overall_prompt_adherence_0_2,0.03389830508474576,-0.0847457627118644,0.15254237288135594,59
RK2 GT - auto,overall_prompt_adherence_0_2,0.05084745762711865,-0.06779661016949153,0.1694915254237288,59
RK2 - Endpoint (auto),overall_prompt_adherence_0_2,0.06779661016949153,-0.06779661016949153,0.2033898305084746,59
RK2 - Endpoint (GT),overall_prompt_adherence_0_2,0.0847457627118644,-0.01694915254237288,0.1864406779661017,59
Mask-by-controller interaction,overall_prompt_adherence_0_2,0.01694915254237288,-0.15254237288135594,0.2033898305084746,59
RK2 N15 - N7 (auto),overall_prompt_adherence_0_2,0.0,-0.11864406779661017,0.11864406779661017,59
RK2 N15 - N7 (GT),overall_prompt_adherence_0_2,-0.01694915254237288,-0.13559322033898305,0.1016949152542373,59
Endpoint GT - auto,visual_quality_0_2,0.0,0.0,0.0,59
RK2 GT - auto,visual_quality_0_2,0.01694915254237288,0.0,0.05084745762711865,59
RK2 - Endpoint (auto),visual_quality_0_2,-0.01694915254237288,-0.05084745762711865,0.0,59
RK2 - Endpoint (GT),visual_quality_0_2,0.0,0.0,0.0,59
Mask-by-controller interaction,visual_quality_0_2,0.01694915254237288,0.0,0.05084745762711865,59
RK2 N15 - N7 (auto),visual_quality_0_2,0.0,-0.05084745762711865,0.05084745762711865,59
RK2 N15 - N7 (GT),visual_quality_0_2,0.0,0.0,0.0,59
Endpoint GT - auto,joint_success,0.13559322033898305,0.01694915254237288,0.2542372881355932,59
RK2 GT - auto,joint_success,0.06779661016949153,-0.05084745762711865,0.1864406779661017,59
RK2 - Endpoint (auto),joint_success,0.03389830508474576,-0.03389830508474576,0.11864406779661017,59
RK2 - Endpoint (GT),joint_success,-0.03389830508474576,-0.1016949152542373,0.03389830508474576,59
Mask-by-controller interaction,joint_success,-0.06779661016949153,-0.1864406779661017,0.05084745762711865,59
RK2 N15 - N7 (auto),joint_success,-0.03389830508474576,-0.13559322033898305,0.06779661016949153,59
RK2 N15 - N7 (GT),joint_success,-0.01694915254237288,-0.0847457627118644,0.05084745762711865,59
Endpoint GT - auto,strict_joint_success,0.0847457627118644,-0.01694915254237288,0.1864406779661017,59
RK2 GT - auto,strict_joint_success,0.13559322033898305,0.03389830508474576,0.2542372881355932,59
RK2 - Endpoint (auto),strict_joint_success,-0.01694915254237288,-0.1016949152542373,0.06779661016949153,59
RK2 - Endpoint (GT),strict_joint_success,0.03389830508474576,-0.05084745762711865,0.13559322033898305,59
Mask-by-controller interaction,strict_joint_success,0.05084745762711865,-0.06779661016949153,0.1694915254237288,59
RK2 N15 - N7 (auto),strict_joint_success,0.15254237288135594,0.03389830508474576,0.2711864406779661,59
RK2 N15 - N7 (GT),strict_joint_success,0.2542372881355932,0.13559322033898305,0.3728813559322034,59
