case_uid,method,part_size,part,footprint_change,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success
synth_0000,endpoint_auto,small,head,comparable,2.0,0.0,1.5,2.0,0.0,0.0
synth_0000,endpoint_gt,small,head,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0000,rk2_auto,small,head,comparable,2.0,0.5,2.0,2.0,0.5,0.0
synth_0000,rk2_gt,small,head,comparable,1.5,1.0,2.0,2.0,1.0,0.0
synth_0000,rk2_n15_auto,small,head,comparable,2.0,0.0,2.0,2.0,0.0,0.0
synth_0000,rk2_n15_gt,small,head,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0001,endpoint_auto,medium,head,comparable,2.0,0.5,1.5,2.0,0.5,0.0
synth_0001,endpoint_gt,medium,head,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0001,rk2_auto,medium,head,comparable,2.0,1.0,2.0,1.5,1.0,0.0
synth_0001,rk2_gt,medium,head,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0001,rk2_n15_auto,medium,head,comparable,2.0,1.0,2.0,2.0,1.0,0.0
synth_0001,rk2_n15_gt,medium,head,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0002,endpoint_auto,large,head,comparable,1.0,0.0,2.0,2.0,0.0,0.0
synth_0002,endpoint_gt,large,head,comparable,1.5,2.0,2.0,2.0,1.0,0.5
synth_0002,rk2_auto,large,head,comparable,1.0,0.0,1.5,2.0,0.0,0.0
synth_0002,rk2_gt,large,head,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0002,rk2_n15_auto,large,head,comparable,0.0,0.0,0.5,1.5,0.0,0.0
synth_0002,rk2_n15_gt,large,head,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0003,endpoint_auto,large,head,comparable,2.0,0.0,1.5,2.0,0.0,0.0
synth_0003,endpoint_gt,large,head,comparable,2.0,2.0,2.0,2.0,1.0,1.0
synth_0003,rk2_auto,large,head,comparable,2.0,0.5,2.0,2.0,0.5,0.0
synth_0003,rk2_gt,large,head,comparable,2.0,1.5,2.0,2.0,1.0,0.5
