case_uid,method,criterion,reviewer_1,reviewer_2,absolute_difference
synth_0030,rk2_n15_gt,local_edit_success_0_2,0,1,1
synth_0038,rk2_gt,local_edit_success_0_2,0,1,1
synth_0002,rk2_auto,local_edit_success_0_2,0,2,2
synth_0005,rk2_gt,local_edit_success_0_2,0,2,2
synth_0000,rk2_gt,local_edit_success_0_2,1,2,1
synth_0026,rk2_n15_gt,local_edit_success_0_2,0,2,2
synth_0032,rk2_gt,local_edit_success_0_2,0,1,1
synth_0056,rk2_n15_auto,local_edit_success_0_2,0,1,1
synth_0026,endpoint_gt,local_edit_success_0_2,1,2,1
synth_0012,rk2_auto,local_edit_success_0_2,1,2,1
synth_0035,rk2_gt,local_edit_success_0_2,0,1,1
synth_0059,rk2_gt,local_edit_success_0_2,0,1,1
synth_0034,rk2_auto,local_edit_success_0_2,0,1,1
synth_0031,rk2_n15_gt,local_edit_success_0_2,0,2,2
synth_0058,endpoint_auto,local_edit_success_0_2,2,1,1
synth_0053,rk2_n15_auto,local_edit_success_0_2,0,1,1
synth_0011,endpoint_auto,local_edit_success_0_2,2,1,1
synth_0004,rk2_auto,local_edit_success_0_2,0,1,1
synth_0004,endpoint_gt,local_edit_success_0_2,0,2,2
synth_0053,rk2_gt,local_edit_success_0_2,1,2,1
synth_0040,endpoint_gt,local_edit_success_0_2,1,2,1
synth_0036,endpoint_auto,local_edit_success_0_2,0,1,1
synth_0038,rk2_n15_gt,local_edit_success_0_2,0,1,1
synth_0036,rk2_gt,local_edit_success_0_2,1,2,1
synth_0057,endpoint_auto,local_edit_success_0_2,2,1,1
synth_0032,rk2_n15_auto,local_edit_success_0_2,0,1,1
synth_0044,rk2_n15_gt,local_edit_success_0_2,0,1,1
synth_0044,rk2_gt,local_edit_success_0_2,0,1,1
synth_0029,rk2_n15_auto,local_edit_success_0_2,0,1,1
synth_0004,endpoint_auto,local_edit_success_0_2,0,1,1
synth_0015,rk2_n15_auto,local_edit_success_0_2,1,2,1
synth_0054,rk2_auto,local_edit_success_0_2,1,0,1
synth_0058,rk2_auto,local_edit_success_0_2,2,1,1
synth_0036,endpoint_gt,local_edit_success_0_2,1,2,1
synth_0051,rk2_n15_auto,local_edit_success_0_2,1,2,1
synth_0004,rk2_n15_auto,local_edit_success_0_2,1,0,1
synth_0056,endpoint_auto,local_edit_success_0_2,1,2,1
synth_0046,rk2_auto,local_edit_success_0_2,0,1,1
synth_0058,rk2_n15_gt,local_edit_success_0_2,1,0,1
synth_0007,rk2_auto,local_edit_success_0_2,1,0,1
synth_0044,endpoint_auto,local_edit_success_0_2,0,1,1
synth_0058,rk2_gt,local_edit_success_0_2,2,1,1
synth_0032,rk2_n15_gt,local_edit_success_0_2,0,1,1
synth_0035,endpoint_auto,local_edit_success_0_2,1,2,1
synth_0017,rk2_auto,local_edit_success_0_2,1,2,1
synth_0007,endpoint_auto,local_edit_success_0_2,1,0,1
synth_0030,rk2_auto,local_edit_success_0_2,2,0,2
synth_0036,rk2_auto,local_edit_success_0_2,0,1,1
synth_0054,rk2_n15_auto,local_edit_success_0_2,1,0,1
synth_0015,endpoint_auto,local_edit_success_0_2,1,2,1
synth_0057,rk2_n15_gt,local_edit_success_0_2,0,1,1
synth_0032,endpoint_auto,local_edit_success_0_2,0,1,1
synth_0030,endpoint_gt,local_edit_success_0_2,0,1,1
synth_0017,endpoint_auto,local_edit_success_0_2,1,2,1
synth_0039,rk2_auto,local_edit_success_0_2,2,1,1
synth_0002,endpoint_gt,local_edit_success_0_2,1,2,1
synth_0054,endpoint_auto,local_edit_success_0_2,1,0,1
synth_0036,rk2_n15_gt,local_edit_success_0_2,0,2,2
synth_0035,rk2_n15_auto,local_edit_success_0_2,1,2,1
synth_0057,rk2_n15_auto,local_edit_success_0_2,2,1,1
synth_0038,endpoint_gt,local_edit_success_0_2,0,1,1
synth_0046,rk2_n15_gt,non_target_preservation_0_2,2,1,1
synth_0010,rk2_n15_auto,non_target_preservation_0_2,0,1,1
synth_0006,rk2_gt,non_target_preservation_0_2,0,1,1
synth_0005,rk2_auto,non_target_preservation_0_2,1,2,1
synth_0033,rk2_n15_auto,non_target_preservation_0_2,0,1,1
synth_0038,rk2_n15_auto,non_target_preservation_0_2,1,2,1
synth_0047,endpoint_auto,non_target_preservation_0_2,0,1,1
synth_0031,rk2_gt,non_target_preservation_0_2,2,1,1
synth_0018,rk2_n15_auto,non_target_preservation_0_2,1,2,1
synth_0045,rk2_auto,non_target_preservation_0_2,1,2,1
synth_0049,rk2_n15_gt,non_target_preservation_0_2,2,1,1
synth_0046,endpoint_gt,non_target_preservation_0_2,1,2,1
synth_0040,endpoint_gt,non_target_preservation_0_2,2,1,1
synth_0013,rk2_gt,non_target_preservation_0_2,2,1,1
synth_0033,rk2_auto,non_target_preservation_0_2,0,1,1
synth_0030,endpoint_auto,non_target_preservation_0_2,2,1,1
synth_0052,rk2_n15_auto,non_target_preservation_0_2,2,1,1
synth_0042,endpoint_gt,non_target_preservation_0_2,2,1,1
synth_0021,endpoint_auto,non_target_preservation_0_2,2,1,1
synth_0047,rk2_gt,non_target_preservation_0_2,2,1,1
synth_0033,rk2_n15_gt,non_target_preservation_0_2,2,1,1
synth_0038,endpoint_auto,non_target_preservation_0_2,2,1,1
synth_0057,endpoint_auto,non_target_preservation_0_2,1,2,1
synth_0023,endpoint_auto,non_target_preservation_0_2,2,1,1
synth_0015,endpoint_gt,non_target_preservation_0_2,2,1,1
synth_0044,rk2_gt,non_target_preservation_0_2,1,2,1
synth_0043,endpoint_gt,non_target_preservation_0_2,2,1,1
synth_0004,endpoint_auto,non_target_preservation_0_2,0,1,1
synth_0001,endpoint_auto,non_target_preservation_0_2,0,1,1
synth_0003,rk2_auto,non_target_preservation_0_2,0,1,1
synth_0042,endpoint_auto,non_target_preservation_0_2,0,1,1
synth_0008,endpoint_gt,non_target_preservation_0_2,2,1,1
synth_0017,endpoint_gt,non_target_preservation_0_2,0,1,1
synth_0051,rk2_n15_auto,non_target_preservation_0_2,0,1,1
synth_0033,endpoint_auto,non_target_preservation_0_2,0,1,1
synth_0000,rk2_auto,non_target_preservation_0_2,0,1,1
synth_0010,rk2_auto,non_target_preservation_0_2,0,1,1
