footprint_change,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success,cases
comparable,endpoint_auto,1.4111111111111112,1.0222222222222221,1.5555555555555556,2.0,0.6333333333333333,0.13333333333333333,45
comparable,endpoint_gt,1.5888888888888888,1.4444444444444444,1.7444444444444445,2.0,0.8222222222222222,0.3111111111111111,45
comparable,rk2_auto,1.4,1.0444444444444445,1.6222222222222222,1.988888888888889,0.6555555555555556,0.12222222222222222,45
comparable,rk2_gt,1.511111111111111,1.4,1.7,2.0,0.8111111111111111,0.32222222222222224,45
comparable,rk2_n15_auto,1.2777777777777777,1.4555555555555555,1.6444444444444444,1.988888888888889,0.6222222222222222,0.3,45
comparable,rk2_n15_gt,1.5222222222222221,1.9222222222222223,1.788888888888889,2.0,0.8,0.6666666666666666,45
contraction,endpoint_auto,0.0,1.5,1.0,2.0,0.0,0.0,1
contraction,endpoint_gt,0.5,1.5,1.0,2.0,0.5,0.0,1
contraction,rk2_auto,1.0,1.5,1.0,2.0,0.5,0.5,1
contraction,rk2_gt,0.0,1.0,1.0,2.0,0.0,0.0,1
contraction,rk2_n15_auto,0.0,2.0,1.0,2.0,0.0,0.0,1
contraction,rk2_n15_gt,0.5,2.0,1.5,2.0,0.5,0.0,1
expansion,endpoint_auto,0.9230769230769231,1.5,1.4230769230769231,2.0,0.5769230769230769,0.19230769230769232,13
expansion,endpoint_gt,0.5384615384615384,1.6923076923076923,1.1538461538461537,2.0,0.4230769230769231,0.07692307692307693,13
expansion,rk2_auto,0.8461538461538461,1.5,1.3461538461538463,2.0,0.5769230769230769,0.11538461538461539,13
expansion,rk2_gt,0.5769230769230769,1.6923076923076923,1.3076923076923077,2.0,0.4230769230769231,0.07692307692307693,13
expansion,rk2_n15_auto,0.8846153846153846,1.8076923076923077,1.4615384615384615,2.0,0.5384615384615384,0.2692307692307692,13
expansion,rk2_n15_gt,0.5384615384615384,2.0,1.1923076923076923,2.0,0.38461538461538464,0.15384615384615385,13
