part,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success,cases
car body,endpoint_auto,1.5,0.875,1.625,2.0,0.625,0.0,4
car body,endpoint_gt,1.5,1.625,1.75,2.0,0.75,0.5,4
car body,rk2_auto,1.625,0.875,1.5,2.0,0.75,0.0,4
car body,rk2_gt,1.5,1.25,1.625,2.0,0.75,0.25,4
car body,rk2_n15_auto,1.5,1.5,1.75,2.0,0.75,0.25,4
car body,rk2_n15_gt,1.5,1.5,1.625,2.0,0.75,0.375,4
car hood,endpoint_auto,1.75,0.9166666666666666,1.75,2.0,0.8333333333333334,0.0,6
car hood,endpoint_gt,2.0,1.1666666666666667,1.8333333333333333,2.0,1.0,0.16666666666666666,6
car hood,rk2_auto,1.4166666666666667,1.0833333333333333,1.75,2.0,0.75,0.08333333333333333,6
car hood,rk2_gt,1.9166666666666667,1.4166666666666667,2.0,2.0,1.0,0.4166666666666667,6
car hood,rk2_n15_auto,1.4166666666666667,1.3333333333333333,1.75,2.0,0.75,0.25,6
car hood,rk2_n15_gt,2.0,2.0,2.0,2.0,1.0,1.0,6
hair,endpoint_auto,2.0,1.6111111111111112,1.8888888888888888,2.0,1.0,0.6111111111111112,9
hair,endpoint_gt,1.9444444444444444,1.6111111111111112,1.8888888888888888,2.0,1.0,0.6111111111111112,9
hair,rk2_auto,2.0,1.4444444444444444,1.9444444444444444,2.0,1.0,0.4444444444444444,9
hair,rk2_gt,2.0,1.6111111111111112,1.9444444444444444,2.0,1.0,0.6111111111111112,9
hair,rk2_n15_auto,2.0,2.0,2.0,2.0,1.0,1.0,9
hair,rk2_n15_gt,1.8888888888888888,2.0,1.9444444444444444,2.0,0.9444444444444444,0.9444444444444444,9
head,endpoint_auto,0.7857142857142857,1.0892857142857142,1.2857142857142858,2.0,0.39285714285714285,0.07142857142857142,28
head,endpoint_gt,0.8035714285714286,1.5714285714285714,1.3392857142857142,2.0,0.5178571428571429,0.08928571428571429,28
head,rk2_auto,0.7678571428571429,1.1607142857142858,1.3214285714285714,1.9821428571428572,0.44642857142857145,0.05357142857142857,28
head,rk2_gt,0.6785714285714286,1.4285714285714286,1.3214285714285714,2.0,0.44642857142857145,0.07142857142857142,28
head,rk2_n15_auto,0.6428571428571429,1.5535714285714286,1.3214285714285714,1.9821428571428572,0.375,0.08928571428571429,28
head,rk2_n15_gt,0.7857142857142857,1.9821428571428572,1.4107142857142858,2.0,0.5,0.2857142857142857,28
seat,endpoint_auto,1.125,1.875,1.625,2.0,0.75,0.25,4
seat,endpoint_gt,1.25,1.625,1.625,2.0,0.75,0.375,4
seat,rk2_auto,1.375,1.75,1.75,2.0,0.75,0.375,4
seat,rk2_gt,1.25,1.625,1.5,2.0,0.875,0.25,4
seat,rk2_n15_auto,0.75,1.75,1.5,2.0,0.625,0.0,4
seat,rk2_n15_gt,0.75,2.0,1.625,2.0,0.5,0.25,4
torso,endpoint_auto,1.8125,0.6875,1.625,2.0,0.6875,0.0,8
torso,endpoint_gt,2.0,1.25,1.9375,2.0,0.9375,0.3125,8
torso,rk2_auto,1.875,0.6875,1.6875,2.0,0.6875,0.0,8
torso,rk2_gt,2.0,1.4375,1.9375,2.0,1.0,0.4375,8
torso,rk2_n15_auto,1.9375,1.0625,1.9375,2.0,0.6875,0.375,8
torso,rk2_n15_gt,2.0,1.875,1.9375,2.0,1.0,0.875,8
