part_size,method,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,joint_success,strict_joint_success,cases
large,endpoint_auto,1.5,1.025,1.625,2.0,0.625,0.15,20
large,endpoint_gt,1.6,1.5,1.725,2.0,0.85,0.375,20
large,rk2_auto,1.425,0.95,1.575,2.0,0.575,0.1,20
large,rk2_gt,1.575,1.425,1.725,2.0,0.85,0.35,20
large,rk2_n15_auto,1.375,1.45,1.625,1.975,0.625,0.375,20
large,rk2_n15_gt,1.575,1.85,1.725,2.0,0.825,0.625,20
medium,endpoint_auto,1.236842105263158,1.263157894736842,1.5263157894736843,2.0,0.631578947368421,0.23684210526315788,19
medium,endpoint_gt,1.394736842105263,1.605263157894737,1.631578947368421,2.0,0.7631578947368421,0.34210526315789475,19
medium,rk2_auto,1.263157894736842,1.368421052631579,1.5789473684210527,1.9736842105263157,0.6842105263157895,0.2631578947368421,19
medium,rk2_gt,1.2894736842105263,1.6578947368421053,1.631578947368421,2.0,0.7368421052631579,0.34210526315789475,19
medium,rk2_n15_auto,1.0526315789473684,1.631578947368421,1.5789473684210527,2.0,0.6052631578947368,0.2631578947368421,19
medium,rk2_n15_gt,1.3421052631578947,1.9736842105263157,1.7105263157894737,2.0,0.7631578947368421,0.5789473684210527,19
small,endpoint_auto,1.1,1.125,1.4,2.0,0.575,0.05,20
small,endpoint_gt,1.025,1.4,1.45,2.0,0.575,0.05,20
small,rk2_auto,1.125,1.15,1.5,2.0,0.65,0.025,20
small,rk2_gt,0.975,1.3,1.45,2.0,0.55,0.1,20
small,rk2_n15_auto,1.075,1.55,1.575,2.0,0.55,0.225,20
small,rk2_n15_gt,0.95,2.0,1.525,2.0,0.525,0.425,20
