contrast,metric,difference,ci_low,ci_high,cases
Endpoint GT - auto,local_edit_success_0_2,0.059322033898305086,-0.06779661016949153,0.1864406779661017,59
RK2 GT - auto,local_edit_success_0_2,0.00847457627118644,-0.1271186440677966,0.15254237288135594,59
RK2 - Endpoint (auto),local_edit_success_0_2,-0.00847457627118644,-0.11016949152542373,0.07627118644067797,59
RK2 - Endpoint (GT),local_edit_success_0_2,-0.059322033898305086,-0.13559322033898305,0.00847457627118644,59
Mask-by-controller interaction,local_edit_success_0_2,-0.05084745762711865,-0.16101694915254236,0.059322033898305086,59
RK2 N15 - N7 (auto),local_edit_success_0_2,-0.1016949152542373,-0.19491525423728814,-0.00847457627118644,59
RK2 N15 - N7 (GT),local_edit_success_0_2,0.00847457627118644,-0.07627118644067797,0.09322033898305085,59
Endpoint GT - auto,non_target_preservation_0_2,0.3644067796610169,0.22033898305084745,0.5169491525423728,59
RK2 GT - auto,non_target_preservation_0_2,0.3050847457627119,0.1864406779661017,0.4322033898305085,59
RK2 - Endpoint (auto),non_target_preservation_0_2,0.01694915254237288,-0.059322033898305086,0.09322033898305085,59
RK2 - Endpoint (GT),non_target_preservation_0_2,-0.0423728813559322,-0.13559322033898305,0.05084745762711865,59
Mask-by-controller interaction,non_target_preservation_0_2,-0.059322033898305086,-0.1694915254237288,0.059322033898305086,59
RK2 N15 - N7 (auto),non_target_preservation_0_2,0.3898305084745763,0.2627118644067797,0.5169491525423728,59
RK2 N15 - N7 (GT),non_target_preservation_0_2,0.4830508474576271,0.3728813559322034,0.5932203389830508,59
Endpoint GT - auto,overall_prompt_adherence_0_2,0.0847457627118644,-0.01694915254237288,0.1864406779661017,59
RK2 GT - auto,overall_prompt_adherence_0_2,0.05084745762711865,-0.03389830508474576,0.13559322033898305,59
RK2 - Endpoint (auto),overall_prompt_adherence_0_2,0.03389830508474576,-0.059322033898305086,0.1271186440677966,59
RK2 - Endpoint (GT),overall_prompt_adherence_0_2,0.0,-0.07627118644067797,0.07627118644067797,59
Mask-by-controller interaction,overall_prompt_adherence_0_2,-0.03389830508474576,-0.15254237288135594,0.0847457627118644,59
RK2 N15 - N7 (auto),overall_prompt_adherence_0_2,0.0423728813559322,-0.0423728813559322,0.1271186440677966,59
RK2 N15 - N7 (GT),overall_prompt_adherence_0_2,0.05084745762711865,-0.025423728813559324,0.1271186440677966,59
Endpoint GT - auto,visual_quality_0_2,0.0,0.0,0.0,59
RK2 GT - auto,visual_quality_0_2,0.00847457627118644,0.0,0.025423728813559324,59
RK2 - Endpoint (auto),visual_quality_0_2,-0.00847457627118644,-0.025423728813559324,0.0,59
RK2 - Endpoint (GT),visual_quality_0_2,0.0,0.0,0.0,59
Mask-by-controller interaction,visual_quality_0_2,0.00847457627118644,0.0,0.025423728813559324,59
RK2 N15 - N7 (auto),visual_quality_0_2,0.0,-0.025423728813559324,0.025423728813559324,59
RK2 N15 - N7 (GT),visual_quality_0_2,0.0,0.0,0.0,59
Endpoint GT - auto,joint_success,0.11864406779661017,0.025423728813559324,0.22033898305084745,59
RK2 GT - auto,joint_success,0.07627118644067797,-0.01694915254237288,0.1694915254237288,59
RK2 - Endpoint (auto),joint_success,0.025423728813559324,-0.03389830508474576,0.0847457627118644,59
RK2 - Endpoint (GT),joint_success,-0.01694915254237288,-0.06779661016949153,0.025423728813559324,59
Mask-by-controller interaction,joint_success,-0.0423728813559322,-0.1271186440677966,0.0423728813559322,59
RK2 N15 - N7 (auto),joint_success,-0.0423728813559322,-0.1016949152542373,0.01694915254237288,59
RK2 N15 - N7 (GT),joint_success,-0.00847457627118644,-0.06779661016949153,0.05084745762711865,59
Endpoint GT - auto,strict_joint_success,0.11016949152542373,0.01694915254237288,0.2033898305084746,59
RK2 GT - auto,strict_joint_success,0.13559322033898305,0.05084745762711865,0.2288135593220339,59
RK2 - Endpoint (auto),strict_joint_success,-0.01694915254237288,-0.059322033898305086,0.025423728813559324,59
RK2 - Endpoint (GT),strict_joint_success,0.00847457627118644,-0.05084745762711865,0.07627118644067797,59
Mask-by-controller interaction,strict_joint_success,0.025423728813559324,-0.05084745762711865,0.1016949152542373,59
RK2 N15 - N7 (auto),strict_joint_success,0.16101694915254236,0.059322033898305086,0.2711864406779661,59
RK2 N15 - N7 (GT),strict_joint_success,0.2796610169491525,0.17796610169491525,0.3898305084745763,59
