reviewer_id,review_position,review_uid,row_uid,case_uid,seed,method,part_size,footprint_change,frozen_review_position
reviewer_2,1,item_1a6285d10c64,gt-diagnostic-v2::rk2_auto::synth_0026::seed_000,synth_0026,0,rk2_auto,small,expansion,1
reviewer_2,2,item_d9eb7243b054,gt-diagnostic-v2::rk2_n15_gt::synth_0003::seed_000,synth_0003,0,rk2_n15_gt,large,comparable,2
reviewer_2,3,item_1b722fd817f0,gt-diagnostic-v2::endpoint_gt::synth_0046::seed_000,synth_0046,0,endpoint_gt,large,comparable,3
reviewer_2,4,item_204089a44545,gt-diagnostic-v2::rk2_n15_auto::synth_0038::seed_000,synth_0038,0,rk2_n15_auto,large,expansion,4
reviewer_2,5,item_5ef6191c3aa4,gt-diagnostic-v2::endpoint_auto::synth_0017::seed_000,synth_0017,0,endpoint_auto,large,comparable,5
reviewer_2,6,item_0179bc6f5434,gt-diagnostic-v2::endpoint_gt::synth_0016::seed_000,synth_0016,0,endpoint_gt,large,comparable,6
reviewer_2,7,item_724723a2d041,gt-diagnostic-v2::rk2_auto::synth_0055::seed_000,synth_0055,0,rk2_auto,large,comparable,7
reviewer_2,8,item_29e96fac6cbf,gt-diagnostic-v2::rk2_n15_auto::synth_0047::seed_000,synth_0047,0,rk2_n15_auto,large,comparable,8
reviewer_2,9,item_0cb54e42d8d1,gt-diagnostic-v2::rk2_gt::synth_0031::seed_000,synth_0031,0,rk2_gt,medium,expansion,9
reviewer_2,10,item_7926fe9e5778,gt-diagnostic-v2::rk2_n15_gt::synth_0058::seed_000,synth_0058,0,rk2_n15_gt,medium,comparable,11
reviewer_2,11,item_2a82eb07e089,gt-diagnostic-v2::endpoint_auto::synth_0038::seed_000,synth_0038,0,endpoint_auto,large,expansion,12
reviewer_2,12,item_c1baa48e9e1a,gt-diagnostic-v2::rk2_gt::synth_0026::seed_000,synth_0026,0,rk2_gt,small,expansion,13
reviewer_2,13,item_f2d8119a0304,gt-diagnostic-v2::endpoint_gt::synth_0015::seed_000,synth_0015,0,endpoint_gt,large,comparable,14
reviewer_2,14,item_05360292fa8f,gt-diagnostic-v2::rk2_n15_gt::synth_0037::seed_000,synth_0037,0,rk2_n15_gt,small,expansion,15
reviewer_2,15,item_47e7d916d4ac,gt-diagnostic-v2::rk2_n15_auto::synth_0003::seed_000,synth_0003,0,rk2_n15_auto,large,comparable,16
reviewer_2,16,item_7c581b5a55a6,gt-diagnostic-v2::endpoint_gt::synth_0029::seed_000,synth_0029,0,endpoint_gt,small,expansion,17
reviewer_2,17,item_22c1f53fab45,gt-diagnostic-v2::endpoint_auto::synth_0033::seed_000,synth_0033,0,endpoint_auto,medium,comparable,18
reviewer_2,18,item_92537f0f3cf9,gt-diagnostic-v2::rk2_n15_gt::synth_0010::seed_000,synth_0010,0,rk2_n15_gt,medium,comparable,19
reviewer_2,19,item_b1c1b55bc7db,gt-diagnostic-v2::rk2_n15_gt::synth_0055::seed_000,synth_0055,0,rk2_n15_gt,large,comparable,20
reviewer_2,20,item_6b27da9a7c55,gt-diagnostic-v2::endpoint_auto::synth_0053::seed_000,synth_0053,0,endpoint_auto,large,comparable,21
reviewer_2,21,item_19edf3b5faa9,gt-diagnostic-v2::rk2_n15_gt::synth_0020::seed_000,synth_0020,0,rk2_n15_gt,large,comparable,22
reviewer_2,22,item_5a60fd12ee30,gt-diagnostic-v2::rk2_auto::synth_0017::seed_000,synth_0017,0,rk2_auto,large,comparable,23
reviewer_2,23,item_d5a49c09985c,gt-diagnostic-v2::rk2_auto::synth_0027::seed_000,synth_0027,0,rk2_auto,large,comparable,24
reviewer_2,24,item_b0c2b5099b02,gt-diagnostic-v2::endpoint_gt::synth_0044::seed_000,synth_0044,0,endpoint_gt,large,comparable,25
reviewer_2,25,item_a49ceb22f264,gt-diagnostic-v2::endpoint_auto::synth_0008::seed_000,synth_0008,0,endpoint_auto,small,comparable,26
reviewer_2,26,item_3f0cc4170823,gt-diagnostic-v2::rk2_n15_gt::synth_0035::seed_000,synth_0035,0,rk2_n15_gt,small,expansion,27
reviewer_2,27,item_c54709723559,gt-diagnostic-v2::rk2_auto::synth_0018::seed_000,synth_0018,0,rk2_auto,medium,comparable,28
reviewer_2,28,item_d8378eae1c90,gt-diagnostic-v2::endpoint_auto::synth_0056::seed_000,synth_0056,0,endpoint_auto,medium,comparable,29
reviewer_2,29,item_a9174fc80659,gt-diagnostic-v2::endpoint_gt::synth_0048::seed_000,synth_0048,0,endpoint_gt,large,comparable,30
reviewer_2,30,item_39d9cbd27690,gt-diagnostic-v2::rk2_auto::synth_0040::seed_000,synth_0040,0,rk2_auto,small,comparable,31
reviewer_2,31,item_c00299e2ec78,gt-diagnostic-v2::endpoint_auto::synth_0041::seed_000,synth_0041,0,endpoint_auto,medium,expansion,32
reviewer_2,32,item_09c345d7a738,gt-diagnostic-v2::endpoint_auto::synth_0044::seed_000,synth_0044,0,endpoint_auto,large,comparable,33
reviewer_2,33,item_969bdc7237b0,gt-diagnostic-v2::endpoint_gt::synth_0023::seed_000,synth_0023,0,endpoint_gt,small,comparable,34
reviewer_2,34,item_c762bb5e78eb,gt-diagnostic-v2::rk2_auto::synth_0034::seed_000,synth_0034,0,rk2_auto,small,expansion,35
reviewer_2,35,item_88f2e075b9e5,gt-diagnostic-v2::rk2_n15_auto::synth_0031::seed_000,synth_0031,0,rk2_n15_auto,medium,expansion,36
reviewer_2,36,item_da9f39f9dd2d,gt-diagnostic-v2::rk2_gt::synth_0051::seed_000,synth_0051,0,rk2_gt,small,comparable,37
reviewer_2,37,item_af975da94e49,gt-diagnostic-v2::endpoint_gt::synth_0056::seed_000,synth_0056,0,endpoint_gt,medium,comparable,38
reviewer_2,38,item_fd806bf33a9d,gt-diagnostic-v2::endpoint_auto::synth_0021::seed_000,synth_0021,0,endpoint_auto,large,comparable,39
reviewer_2,39,item_c525a631cdde,gt-diagnostic-v2::rk2_n15_gt::synth_0056::seed_000,synth_0056,0,rk2_n15_gt,medium,comparable,40
reviewer_2,40,item_8d7b1a34ef6b,gt-diagnostic-v2::endpoint_auto::synth_0022::seed_000,synth_0022,0,endpoint_auto,medium,comparable,41
reviewer_2,41,item_ded5bcf170f0,gt-diagnostic-v2::endpoint_auto::synth_0011::seed_000,synth_0011,0,endpoint_auto,small,comparable,42
reviewer_2,42,item_d92fa5b55d6f,gt-diagnostic-v2::endpoint_gt::synth_0042::seed_000,synth_0042,0,endpoint_gt,medium,comparable,43
reviewer_2,43,item_e581dd992747,gt-diagnostic-v2::rk2_n15_auto::synth_0023::seed_000,synth_0023,0,rk2_n15_auto,small,comparable,44
reviewer_2,44,item_ac48468a957c,gt-diagnostic-v2::rk2_gt::synth_0035::seed_000,synth_0035,0,rk2_gt,small,expansion,45
reviewer_2,45,item_d71ad632b800,gt-diagnostic-v2::endpoint_gt::synth_0022::seed_000,synth_0022,0,endpoint_gt,medium,comparable,46
reviewer_2,46,item_bc93ae9e2fce,gt-diagnostic-v2::endpoint_auto::synth_0029::seed_000,synth_0029,0,endpoint_auto,small,expansion,47
reviewer_2,47,item_aee82b52d760,gt-diagnostic-v2::rk2_n15_gt::synth_0047::seed_000,synth_0047,0,rk2_n15_gt,large,comparable,48
reviewer_2,48,item_8e61cc280d1d,gt-diagnostic-v2::rk2_auto::synth_0013::seed_000,synth_0013,0,rk2_auto,small,comparable,49
reviewer_2,49,item_e1df5717589a,gt-diagnostic-v2::rk2_auto::synth_0015::seed_000,synth_0015,0,rk2_auto,large,comparable,50
reviewer_2,50,item_818c0a41b784,gt-diagnostic-v2::rk2_n15_gt::synth_0017::seed_000,synth_0017,0,rk2_n15_gt,large,comparable,51
reviewer_2,51,item_39ef02efbc76,gt-diagnostic-v2::rk2_n15_gt::synth_0054::seed_000,synth_0054,0,rk2_n15_gt,small,comparable,52
reviewer_2,52,item_72d0d6b60fca,gt-diagnostic-v2::endpoint_auto::synth_0047::seed_000,synth_0047,0,endpoint_auto,large,comparable,53
reviewer_2,53,item_2460ab81e3b8,gt-diagnostic-v2::rk2_gt::synth_0003::seed_000,synth_0003,0,rk2_gt,large,comparable,54
reviewer_2,54,item_e89f685e2072,gt-diagnostic-v2::rk2_n15_auto::synth_0029::seed_000,synth_0029,0,rk2_n15_auto,small,expansion,55
reviewer_2,55,item_36ec3fa4ca23,gt-diagnostic-v2::rk2_gt::synth_0033::seed_000,synth_0033,0,rk2_gt,medium,comparable,56
reviewer_2,56,item_b35655497593,gt-diagnostic-v2::rk2_n15_gt::synth_0052::seed_000,synth_0052,0,rk2_n15_gt,medium,comparable,57
reviewer_2,57,item_c33a80f9940f,gt-diagnostic-v2::rk2_auto::synth_0001::seed_000,synth_0001,0,rk2_auto,medium,comparable,58
