case_uid,part_size,part,edit,binary_iou_mean,binary_iou_std,soft_ap_mean,soft_ap_std,pred_to_gt_area_ratio_mean,pred_to_gt_area_ratio_std,soft_inside_gt_mass_mean,soft_inside_gt_mass_std,outside_mask_l1_aux_mean,outside_mask_l1_aux_std,outside_mask_psnr_mean,outside_mask_psnr_std,outside_mask_global_ssim_mean,outside_mask_global_ssim_std,outside_mask_lpips_mean,outside_mask_lpips_std
real_0000,large,torso,armored,0.21951808625753597,0.0,0.2359427879911775,0.0,4.29800629590766,0.0,0.16458997130393982,0.0,0.04651878774166107,0.0,19.77417873851882,0.0,0.8839640021324158,0.0,0.2096026241779327,0.0
real_0001,medium,head,cat,0.26432671324567675,0.0,0.41423109214448334,0.0,3.6181927791546653,0.0,0.1511312872171402,0.0,0.05430399999022484,0.0,21.50133509731843,0.0,0.8745523691177368,0.0,0.207192987203598,0.0
real_0002,small,seat,mesh,0.05004011704738531,0.0,0.05186901944065934,0.0,10.349700293329933,0.0,0.04282232001423836,0.0,0.046172354370355606,0.0,21.72397110500619,0.0,0.9641039967536926,0.0,0.142717495560646,0.0
real_0003,small,head,cheetah,0.044741363397560595,0.0,0.04371450999369311,0.0,8.450038530696121,0.0,0.038513053208589554,0.0,0.060924045741558075,0.0,18.412813922885555,0.0,0.9259583353996277,0.0,0.2085261642932891,0.0
real_0004,medium,carhood,rusted,0.15600722673893405,0.0,0.26568875195865804,0.0,6.283437677859989,0.0,0.125813826918602,0.0,0.06894540041685104,0.0,18.020972308331608,0.0,0.8721892833709717,0.0,0.1848680078983307,0.0
real_0005,large,head,dog,0.34162136818508154,0.0,0.3962989254130638,0.0,2.517613614536514,0.0,0.19870220124721527,0.0,0.06706960499286652,0.0,20.348834093411966,0.0,0.9145687818527222,0.0,0.18634626269340507,0.0
real_0006,small,head,alien,0.02920386904761905,0.0,0.24292811201114103,0.0,34.24203821656051,0.0,0.025540538132190704,0.0,0.08132458478212357,0.0,17.609343745499512,0.0,0.869110107421875,0.0,0.2280128300189972,0.0
real_0007,medium,seat,leather,0.1261694319532744,0.0,0.13504982894540216,0.0,3.5328710124826634,0.0,0.1022251546382904,0.0,0.03262297436594963,0.0,21.396551439665398,0.0,0.9404739141464233,0.0,0.1363439708948135,0.0
real_0008,small,head,bear,0.067138671875,0.0,0.159410611551875,0.0,14.894545454545456,0.0,0.05798918753862381,0.0,0.047414686530828476,0.0,21.743051845807088,0.0,0.9542394876480103,0.0,0.198042556643486,0.0
real_0009,large,carbody,rusted,0.5083119151179649,0.0,0.6516052733499355,0.0,0.9800049744249671,0.0,0.510670006275177,0.0,0.03735116869211197,0.0,23.10426292408501,0.0,0.9597668647766113,0.0,0.1498986184597015,0.0
real_0010,medium,head,dragon,0.09863893561706683,0.0,0.08506018544988608,0.0,8.16326530612245,0.0,0.07199309021234512,0.0,0.07141903787851334,0.0,19.249587382835568,0.0,0.9221071600914001,0.0,0.2540944516658783,0.0
real_0011,large,hair,curly_hair,0.16308225852240033,0.0,0.2009123704623378,0.0,4.972734436564224,0.0,0.14484810829162598,0.0,0.05228152498602867,0.0,21.43226711204498,0.0,0.9498619437217712,0.0,0.1913739591836929,0.0
